# Source: GSI Datasets | Cite as: Gruffydd-Jones, J. (2026). GSI Datasets. https://github.com/jjgj/gsi-datasets | Build: 2026-06-23
publication,ID,Date,Newspaper,Headline,snippet,sent_score
MFA,9,2022-05-08,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Holds Virtual Meeting with Cambodian Deputy Prime Minister and Foreign Minister Prak Sokhonn,"On May 8, 2022, State Councilor and Foreign Minister Wang Yi held a virtual meeting with Cambodian Deputy Prime Minister and Foreign Minister Prak Sokhonn. Wang Yi said, against the backdrop of complex and profound chang",0.166
MFA,10,2022-05-09,Ministry of Foreign Affairs of the People's Republic of China - News (English),President Xi Jinping Has a Virtual Meeting with German Chancellor Olaf Scholz,President Xi Jinping had a virtual meeting with German Chancellor Olaf Scholz on the afternoon of 9 May. President Xi Jinping noted the ongoing complex changes in the international landscape and the marked rise in diffic,0.184
MFA,11,2022-05-09,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Zhao Lijian's Regular Press Conference on May 9 2022,"Phoenix TV: The Sixth-Term Chief Executive election of the Hong Kong Special Administrative Region (HKSAR) was concluded on May 8. John Lee Ka-chiu was elected to be the new Chief Executive. The European Union, in its st",0.018
Xinhua,24,2022-05-09,Xinhua,"Chinese FM meets Cambodian counterpart, calling on world to listen more to Asian voices","BEIJING, May 8 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi Sunday called on the world to listen more to Asian voices with global governance entering """"Asian moment."""" Wang made the remarks when meeti",0.095
Xinhua,25,2022-05-09,Xinhua,"Xi calls on China, Germany to better harness stabilizing, constructive, steering role of ties","BEIJING, May 9 (Xinhua) -- Chinese President Xi Jinping had a virtual meeting with German Chancellor Olaf Scholz on Monday, saying it is particularly important for the two countries to better harness the stabilizing, con",0.197
MFA,12,2022-05-10,Ministry of Foreign Affairs of the People's Republic of China - News (English),President Xi Jinping Speaks withFrench President Emmanuel Macron on Phone,"President Xi Jinping spoke with French President Emmanuel Macron on the phone on the afternoon of 10 May. President Xi noted his close contact with President Macron over the past five years, which helped guide the two co",0.192
Xinhua,26,2022-05-10,Xinhua,2nd LD: Xi talks with Macron over phone,"BEIJING, May 10 (Xinhua) -- Chinese President Xi Jinping spoke with French President Emmanuel Macron on the phone on Tuesday afternoon. Xi noted his close contact with Macron over the past five years, which has helped gu",0.227
Xinhua,27,2022-05-10,Xinhua,3rd LD Writethru: Xi talks with Macron over phone,"BEIJING, May 10 (Xinhua) -- Chinese President Xi Jinping spoke with French President Emmanuel Macron on the phone on Tuesday afternoon. Xi noted his close contact with Macron over the past five years, which has helped gu",0.201
Xinhua,28,2022-05-10,Xinhua,"China, Thailand vow to strengthen cooperation between legislatures","BEIJING, May 10 (Xinhua) -- Wang Chen, vice chairman of the National People's Congress (NPC) Standing Committee, met with Suchart Tancharoen, first deputy speaker of the House of Representatives of Thailand, via video li",0.1
MFA,13,2022-05-11,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Zhao Lijian's Regular Press Conference on May 11 2022,Phoenix TV: WHO Director-General Tedros Adhanom Ghebreyesus shared some views on China's dynamic zero-COVID policy at a media briefing yesterday. WHO experts also stressed the need to balance COVID prevention and economi,-0.003
Xinhua,29,2022-05-11,Xinhua,"Interview: Global Security Initiative reflects China's commitment to upholding world peace, prosperity: Pakistani expert","by Raheela Nazir, Jiang Jiang ISLAMABAD, May 11 (Xinhua) -- The Global Security Initiative proposed by Chinese President Xi Jinping is an important step in the right direction, reflecting China's commitment to upholding ",0.1
Xinhua,30,2022-05-11,Xinhua,"Xinhua Commentary: China, Germany should enhance cooperation during times of uncertainty","BEIJING, May 11 (Xinhua) -- Chinese President Xi Jinping had a virtual meeting with German Chancellor Olaf Scholz on Monday. Facing complex changes in the international landscape and various challenges to world peace and",0.142
MFA,14,2022-05-12,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Zhao Lijian's Regular Press Conference on May 12 2022,Associated Press of Pakistan: Yesterday State Councilor and Foreign Minister Wang Yi had a virtual meeting with Pakistani Foreign Minister Bilawal Bhutto Zardari. We noted that it is the first meeting between Chinese and,0.018
Xinhua,31,2022-05-12,Xinhua,1st LD Writethru: Chinese envoy warns against more sanctions on DPRK,"UNITED NATIONS, May 11 (Xinhua) -- A Chinese envoy on Wednesday warned against attempts to impose more sanctions on the Democratic People's Republic of Korea (DPRK). Dialogue and consultation is the only correct way to r",0.052
MFA,15,2022-05-13,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Zhao Lijian's Regular Press Conference on May 13 2022,"CCTV: On May 12 local time, the US co-hosted the second virtual Global COVID-19 Summit alongside a few countries. Do you have any comment? Why didn't China participate in the meeting? Zhao Lijian: China welcomes all effo",0.073
MFA,16,2022-05-16,Ministry of Foreign Affairs of the People's Republic of China - News (English),Studying and Implementing Xi Jinping Thought on Diplomacy in a Deep-going Way and Opening up New Horizons in China's External Work,"By Yang Jiechi (People's Daily Online) 09:02, May 16, 2022 I Since the beginning of this year, faced with the complex situation where major global changes unseen in a century have been compounded by a once-in-a-century p",0.106
MFA,17,2022-05-19,Ministry of Foreign Affairs of the People's Republic of China - News (English),President Xi Jinping Delivers a Video Address At the Opening Session of the BRICS Foreign Ministers' Meeting,"On May 19, President Xi Jinping delivered a video address at the opening session of the BRICS Foreign Ministers' Meeting. President Xi noted that currently, the impacts of major changes and a pandemic unseen in a centur",0.184
MFA,18,2022-05-19,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Chairs the BRICS Foreign Ministers' Meeting,"On the evening of May 19, 2022, State Councilor and Foreign Minister Wang Yi chaired the virtual meeting of BRICS Ministers of Foreign Affairs/International Relations in Beijing. South African Minister of International R",0.208
Xinhua,32,2022-05-19,Xinhua,Xi calls on BRICS countries to build global community of security for all,"BEIJING, May 19 (Xinhua) -- Chinese President Xi Jinping on Thursday called on the BRICS countries to work together to build a global community of security for all. Xi made the remarks while delivering a video address at",0.187
Xinhua,33,2022-05-19,Xinhua,"China, Cuba enjoy excellent bilateral relations: Chinese ambassador","HAVANA, May 18 (Xinhua) -- China and Cuba enjoy excellent bilateral relations in keeping with the historic links that unite the two nations, Chinese Ambassador to Cuba Ma Hui said Wednesday. """"We share common ideals and ",0.122
MFA,19,2022-05-20,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Chairs Dialogue of Foreign Ministers between BRICS and Emerging Markets and Developing Countries,"On the evening of May 19, 2022, State Councilor and Foreign Minister Wang Yi chaired the Video Dialogue of Foreign Ministers between BRICS and Emerging Markets and Developing Countries in Beijing. Foreign Ministers of BR",0.174
